lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,sdsnow,wlevel,totice,nice,whiteice,blueice
TB,2017,48,2/17/2017,1,,13.4,,0,34,,19,15
TB,1997,49,2/18/1997,1,10,16.2,,0,55,1,39,16
TB,1998,49,2/18/1998,1,10,2.5,,1,39,1,22,17
TB,2013,49,2/18/2013,1,,10.4,,1,41,,20,21
TB,2001,50,2/19/2001,1,10,22.1,,0,38,1,27,11
TB,2004,50,2/19/2004,1,10,16.6,,1,50,1,28,22
TB,1991,51,2/20/1991,1,10,12.5,,1,39,1,11,28
TB,2003,51,2/20/2003,1,10,20.6,,-2,42,1,5,37
TB,2012,51,2/20/2012,1,10,9.8,,1.5,35,1,25,10
TB,2014,51,2/20/2014,1,,32,,-1,46,,32,14
TB,1996,52,2/21/1996,1,10,15.3,,1,50,1,7,43
TB,2000,52,2/21/2000,1,10,28.4,,-14,21,1,14,7
TB,2007,52,2/21/2007,1,10,13.3,,2,36,1,13,23
TB,1983,53,2/22/1983,1,10,0.5,0.4,0,31,1,15,16
TB,2006,53,2/22/2006,1,10,15.1,,2,38,1,38,0
TB,2010,53,2/22/2010,1,10,18.8,,0,33,1,17,16
TB,1987,54,2/23/1987,1,10,10.1,0.6,1,37,1,14,23
TB,1993,55,2/24/1993,1,10,10.2,,2.5,49,1,32,17
TB,1994,55,2/24/1994,1,10,2.7,,5,46,1,26,20
TB,1999,55,2/24/1999,1,10,16.4,,2,44,1,44,0
TB,2016,55,2/24/2016,1,,6.5,,1,33,,25,8
TB,1986,56,2/25/1986,1,10,26,0,2,40,1,34,6
TB,2008,56,2/25/2008,1,10,22.2,,-1,42,1,23,19
TB,1992,57,2/26/1992,1,10,31,,-2,40,1,28,12
TB,1985,58,2/27/1985,1,10,5.4,0.6,3,31,1,7,24
TB,1984,59,2/28/1984,1,10,2.3,0.3,5,46,1,22,24
TB,1990,59,2/28/1990,1,10,22.2,,0,50,1,30,20
TB,1988,61,3/1/1988,1,10,9.4,0.5,2,44,1,33,11
TB,1982,62,3/3/1982,1,10,9.1,0.8,5.5,39.3,1,32.7,6.6
TB,1989,65,3/6/1989,1,10,33.8,,-1.3,46.2,1,24,22.2
TB,2002,65,3/6/2002,1,10,7.8,,2,38,1,18,20
TB,2015,65,3/6/2015,1,,31.1,,-3,32,,27,5
TB,1998,75,3/16/1998,1,10,6.5,,2,34,1,21,13
TB,2011,75,3/16/2011,1,10,11.3,,2,48,1,23,25
TB,1987,79,3/20/1987,1,1,0,,1,35,,17,18
TB,1995,79,3/20/1995,1,10,2.8,,1.5,36,1,31,5
TB,1991,80,3/21/1991,1,1,0,,0,47,1,15,32
TB,1993,82,3/23/1993,1,10,8.5,,5,50.5,1,31.5,19
TB,1999,82,3/23/1999,1,10,4.2,,3,43,1,33,10
TB,1983,83,3/24/1983,1,10,10.1,0.5,1,30,1,8,22
TB,1988,83,3/23/1988,1,10,4.9,0.5,3,51,3,18,33
TB,1992,83,3/23/1992,1,10,5.2,,3,44,1,3,41
TB,1997,83,3/24/1997,1,10,24.4,,0,57,1,57,0
TB,2015,83,3/24/2015,1,,0,,1,25,,20,5
TB,1985,84,3/25/1985,1,10,2.5,1.4,2,47,1,18,29
TB,2009,84,3/25/2009,1,1,0,,3,42,1,24,18
TB,1989,86,3/27/1989,1,10,,,5,58.5,1,36.5,22
TB,1990,86,3/27/1990,1,1,0,,3.5,41,1,24.5,16.5
TB,2007,86,3/27/2007,1,1,0,,0,25,1,2,23
TB,2013,86,3/27/2013,1,,7.6,,2,60,,36,24
TB,1994,87,3/28/1994,1,10,11,,0,36,1,17,19
TB,2008,87,3/27/2008,1,10,12.3,,1,53,1,35,18
TB,2014,87,3/28/2014,1,,21.1,,1,60,,42,18
TB,2006,88,3/29/2006,1,10,0.5,,3,47,1,47,0
TB,2017,88,3/29/2017,1,,0,,2,36,,22,14
TB,2004,89,3/29/2004,1,10,3.9,,2,54,1,28,26
TB,1986,90,3/31/1986,1,4,0.8,1.5,-3,28,1,22,6
TB,2005,90,3/31/2005,1,10,1.3,,2,44,1,20,24
TB,2003,92,4/2/2003,1,10,1.6,,2,40,1,2,38
TB,1996,93,4/2/1996,1,10,29.3,,-11,57,1,26,31
TB,2001,93,4/3/2001,1,10,3.9,,3,47,1,39,8
TB,1984,95,4/4/1984,1,1,0,0,2,46,1,14,32
TB,1982,96,4/6/1982,1,10,8.2,0.4,0,52,1,41,11
TB,1985,100,4/10/1985,1,1,0,,5,48,1,24,
TB,2002,102,4/12/2002,1,1,0,,5,51,1,27,24
TB,1995,313,11/9/1995,1,10,,,,2.5,1,0,2.5
TB,1983,318,11/14/1983,1,0,,,,2,1,,
TB,1982,334,11/30/1982,1,10,0.5,0,0,11,1,0,11
TR,1985,8,1/8/1985,2,10,4,0.8,1,25,1,5,20
TR,1984,9,1/9/1984,2,10,1.4,1.3,,35.6,1,13,22.6
TR,1986,9,1/9/1986,2,10,7.5,4.6,1,40,1,3,37
TR,1983,10,1/10/1983,2,10,15.8,3.7,,21.2,1,0,21.2
TR,1995,10,1/10/1995,2,10,1.5,,3,34.5,1,0,34.5
TR,1993,12,1/12/1993,2,10,14.6,,-4,28.5,1,2,26.5
TR,1987,13,1/13/1987,2,10,1.8,1.5,3,35,1,0,35
TR,2010,13,1/13/2010,2,10,3.4,,4,36,1,9,27
TR,2011,13,1/13/2011,2,10,9.3,,0,34,1,0,34
TR,1992,14,1/14/1992,2,10,9,,2,36,1,8,28
TR,1991,15,1/15/1991,2,10,8.1,,0,31,1,0,31
TR,2013,15,1/15/2013,2,,0,,2,29,,3,26
TR,2015,15,1/15/2015,2,,19.1,,-2,31,,10,21
TR,1989,16,1/16/1989,2,10,20.2,,-2.5,27,1,0,27
TR,1990,16,1/16/1990,2,10,1,,6,41,1,10,31
TR,1998,16,1/16/1998,2,10,16.6,,-3,23,1,0,23
TR,2003,16,1/16/2003,2,10,1.9,,3,45,1,0,45
TR,2012,16,1/16/2012,2,10,0.6,,0,22,1,1,21
TR,2014,16,1/16/2014,2,,17.2,,0,40,,0,40
TR,1988,18,1/18/1988,2,10,6.5,4.2,1,36,4,1,35
TR,2007,18,1/18/2007,2,10,2.8,,2,28,1,4,24
TR,1982,19,1/19/1982,2,10,3.5,2.6,-1,48,1,5,43
TR,2000,19,1/19/2000,2,10,15.9,,-1,35,1,0,35
TR,2009,19,1/19/2009,2,10,19.5,,0,39,1,4,35
TR,2017,19,1/19/2017,2,,11.3,,-2,29,,0,29
TR,1999,20,1/20/1999,2,10,16.9,,-1,34,1,0,34
TR,2006,20,1/20/2006,2,10,10.8,,0,24,1,10,14
TR,2002,21,1/21/2002,2,10,3.9,,1,24,1,0,24
TR,2005,21,1/21/2005,2,10,12.4,,2,44,1,6,38
TR,1997,24,1/24/1997,2,10,27.6,,-9.5,31.5,1,13,18.5
TR,2001,25,1/25/2001,2,10,8,,0,32,1,16,16
TR,1996,26,1/26/1996,2,10,7.2,,,39,1,15,24
TR,1994,27,1/27/1994,2,10,16.5,,-1,35,1,0,35
TR,2004,27,1/27/2004,2,10,16.8,,-1,45,1,8,37
TR,2008,32,2/1/2008,2,10,7,,3,46,1,9,37
TR,2016,32,2/1/2016,2,,10.9,,-2,23,,0,23
TR,2010,41,2/10/2010,2,10,6.7,,3,43,1,10,33
TR,2017,44,2/13/2017,2,,8.6,,1,43,,5,38
TR,2006,45,2/14/2006,2,10,8.2,,1,36,1,16,20
TR,1983,47,2/16/1983,2,10,7.7,6.7,0.5,42.7,1,18.5,24.2
TR,1995,47,2/16/1995,2,10,8,,0,46,1,0,46
TR,2004,47,2/16/2004,2,10,22.4,,-3,46,1,8,38
TR,2009,47,2/16/2009,2,10,1.7,,2,49,1,7,42
TR,2011,47,2/16/2011,2,10,12.3,,0,44,1,3,41
TR,2014,50,2/19/2014,2,,37.3,,-6,45,,5,40
TR,1991,51,2/20/1991,2,10,9.6,,0,48,1,0,48
TR,1998,51,2/20/1998,2,1,0,,1,29,1,6,23
TR,1984,52,2/21/1984,2,10,4.3,2.3,4,54,1,13,41
TR,1989,52,2/21/1989,2,10,3.7,,3,55,1,2,53
TR,1990,52,2/21/1990,2,10,16.9,,3,48,1,15,33
TR,1997,52,2/21/1997,2,10,6,,2,54,1,39,15
TR,2013,52,2/21/2013,2,,23.2,,-1,47,,0,47
TR,1996,53,2/22/1996,2,10,13.4,,0,57,1,20,37
TR,2012,53,2/22/2012,2,10,10.9,,0,37,1,1,36
TR,1994,54,2/23/1994,2,10,1,,1,44,1,0,44
TR,2000,55,2/24/2000,2,10,17.8,,-6,40,1,0,40
TR,1985,56,2/25/1985,2,10,7.9,3.2,-0.5,46,1,3,43
TR,2002,56,2/25/2002,2,10,13.8,,-9,32,1,1,31
TR,1987,57,2/26/1987,2,10,11.3,1.7,0,48,1,0,48
TR,1999,57,2/26/1999,2,10,8.9,,2,47,1,17,30
TR,2007,57,2/26/2007,2,10,9.5,,3,60,1,6,54
TR,2001,58,2/27/2001,2,10,14.2,,0,45,1,25,20
TR,2008,58,2/27/2008,2,10,13.4,,1,53,1,6,47
TR,1993,60,3/1/1993,2,10,3,,4,62.5,1,10.5,52
TR,1982,61,3/2/1982,2,10,9.5,3.6,4,60,1,17,43
TR,2015,61,3/2/2015,2,,3.2,,4,65,,21,44
TR,2016,61,3/1/2016,2,,0.2,,1,43,,8,35
TR,2005,62,3/3/2005,2,10,13.9,,2,56,1,8,48
TR,1986,63,3/4/1986,2,10,23.2,3,-7,47,1,7,40
TR,1988,63,3/3/1988,2,10,4.1,3,4,65,1,60,5
TR,1992,64,3/4/1992,2,10,15.2,,-4,42,1,6,36
TR,2003,70,3/11/2003,2,10,19.6,,0,62,1,0,62
TR,2011,76,3/17/2011,2,1,0,,2,52,1,6,46
TR,1998,79,3/20/1998,2,10,6.5,,0,30,1,8,22
TR,1995,80,3/21/1995,2,10,5,,0,38.5,1,38.5,0
TR,1993,81,3/22/1993,2,10,7.2,,5,63,1,13,50
TR,2017,81,3/22/2017,2,,0,,3,44,,3,41
TR,2009,82,3/23/2009,2,1,0,,4,51,1,0,51
TR,1985,84,3/25/1985,2,10,3.7,1.4,4,58,1,15,43
TR,1987,85,3/26/1987,2,1,0,,1,35,,35,0
TR,1992,85,3/25/1992,2,10,3.1,,0,49,1,12,37
TR,1999,85,3/26/1999,2,10,0.3,,4,53,1,17,36
TR,2014,85,3/26/2014,2,,9.5,,10,77,,19,58
TR,2015,86,3/27/2015,2,,4.7,,4,49,,4,45
TR,1989,87,3/28/1989,2,10,,,10,61,1,8,53
TR,2013,87,3/28/2013,2,,8.3,,1,61,,15,46
TR,1983,88,3/29/1983,2,10,9.2,3.6,0,39,1,8,31
TR,2007,88,3/29/2007,2,1,0,,3,41,1,0,41
TR,2008,88,3/28/2008,2,10,8.2,,0,61,1,8,53
TR,1990,89,3/30/1990,2,1,0,,3,41,1,7,34
TR,2004,90,3/30/2004,2,1,0,,4,52,1,12,40
TR,1991,91,4/1/1991,2,10,1.3,,2,48,1,3,45
TR,1986,93,4/3/1986,2,1,0,,0,33,1,0,33
TR,1996,93,4/2/1996,2,10,22.5,,0,66,1,26,40
TR,2002,93,4/3/2002,2,10,12.3,,2,61,1,23,38
TR,2003,93,4/3/2003,2,10,5.7,,3,58,1,1,57
TR,1994,94,4/4/1994,2,10,7.7,,3,44,1,4,40
TR,2005,95,4/5/2005,2,1,0,,3,43,1,3,40
TR,2006,95,4/5/2006,2,1,0,,1,32,1,8,24
TR,1982,96,4/6/1982,2,10,2.2,1.9,5.5,62.5,1,11,51.5
TR,2001,96,4/6/2001,2,10,1,,4,47,1,24,23
TR,1988,98,4/7/1988,2,1,0,,4.5,46,3,46,0
TR,1997,99,4/9/1997,2,10,0.1,,5,41,1,11,30
TR,1984,102,4/11/1984,2,1,0,0,3,50,1,4,46
TR,1985,102,4/12/1985,2,1,0,,,,,,
WI,2001,8,1/8/2001,1,5,6.1,,,29,1,10,19
WI,1997,15,1/15/1997,1,5,8,,,32,1,,
WI,1999,26,1/26/1999,1,5,2,,,38,1,,
WI,2000,26,1/26/2000,1,5,5,,,27,1,,
WI,2011,27,1/27/2011,1,5,15,,0,41,1,8,33
WI,2003,28,1/28/2003,1,5,2.5,,0,25,1,25,0
WI,2015,28,1/28/2015,1,,1.6,,2.5,29,,,29
WI,2010,36,2/5/2010,1,5,4,,4,45,1,5,40
WI,2016,36,2/5/2016,1,,1,,1,29,,1,28
WI,2004,40,2/9/2004,1,5,11,,-1,30.5,1,12.5,18
WI,2005,40,2/9/2005,1,5,3,,0.5,38,1,8,30
WI,1996,44,2/13/1996,1,,,,,,,,
WI,2009,47,2/16/2009,1,5,2,,0,35,1,5,30
WI,2012,47,2/16/2012,1,1,0,,0,22,1,12,10
WI,2017,47,2/16/2017,1,,0,,1,28,,3,25
WI,2008,49,2/18/2008,1,5,32.6,,-2,34,1,10,24
WI,2006,53,2/22/2006,1,5,10,,-1,13,1,13,0
WI,1999,55,2/24/1999,1,1,0,,,16,1,,
WI,2000,55,2/24/2000,1,1,0,,,28,1,,
WI,2013,56,2/25/2013,1,,1,,1,37,,8,29
WI,2007,67,3/8/2007,1,5,2,,1,38,1,18,20
