"lakeid","year","ice_on","ice_off","duration","comments"
"ME","1986","1985-12-14","1986-03-31",107,
"ME","1987","1986-12-13","1987-03-12",89,
"ME","1988","1988-01-02","1988-03-29",87,
"ME","1989","1988-12-29","1989-04-05",97,
"ME","1990","1989-12-12","1990-03-15",93,
"ME","1991","1990-12-26","1991-03-24",88,
"ME","1992","1991-12-18","1992-03-26",99,
"ME","1993","1992-12-24","1993-04-11",108,
"ME","1994","1993-12-27","1994-03-31",94,
"ME","1995","1995-01-06","1995-03-21",74,
"ME","1996","1995-12-10","1996-04-07",119,
"ME","1997","1996-12-20","1997-04-01",102,
"ME","1998","1998-01-11","1998-02-27",47,
"ME","1999","1998-12-30","1999-03-21",81,
"ME","2000","2000-01-14","2000-03-07",53,
"ME","2001","2000-12-13","2001-04-07",115,
"ME","2002","2002-01-02","2002-03-15",21,"ice cover on  Jan 2-Jan 12; Mar 4-Mar 15 only"
"ME","2003","2003-01-04","2003-04-03",89,
"ME","2004","2004-01-07","2004-03-27",80,
"ME","2005","2004-12-25","2005-04-05",101,
"ME","2006","2005-12-19","2006-03-24",95,
"ME","2007","2007-01-20","2007-03-27",66,
"ME","2008","2007-12-26","2008-04-10",106,
"ME","2009","2008-12-16","2009-03-23",97,
"ME","2010","2009-12-29","2010-03-26",87,
"ME","2011","2010-12-15","2011-04-03",110,
"ME","2012","2012-01-14","2012-03-11",57,
"ME","2013","2013-01-14","2013-04-11",87,
"ME","2014","2013-12-16","2014-04-12",117,
"ME","2015","2015-01-02","2015-04-03",91,
"ME","2016","2016-01-11","2016-03-13",62,
"ME","2017","2017-01-01","2017-03-07",65,
"ME","2018","2017-12-27","2018-03-31",94,
"ME","2019","2018-12-15","2019-03-31",86,"Open 2018-12-21 to 2019-01-10"
"ME","2020","2020-01-12","2020-03-22",70,
"ME","2021","2021-01-03","2021-03-20",77,
"ME","2022","2022-01-07","2022-04-02",85,
"ME","2023","2022-12-25","2023-04-02",98,
"ME","2024","2024-01-15","2024-02-28",44,
"MO",,"1853-12-21",,,
"MO","1852","1851-12-13","1852-03-25",103,
"MO","1856","1855-12-18","1856-04-14",118,
"MO","1857","1856-12-04","1857-05-04",151,
"MO","1858","1857-11-23","1858-03-22",119,
"MO","1859","1858-12-11","1859-03-15",94,
"MO","1860","1859-12-06","1860-03-26",111,
