"lakeid","winter_yr","season","MUFA_perc_avg","PUFA_perc_avg","SAFA_perc_avg","c18.2w6_perc_avg","c18.3w6_perc_avg","c18.3w3_perc_avg","c18.4w3_perc_avg","c18.5w3_perc_avg","c20.4w6_perc_avg","c20.5w3_perc_avg","c22.6w3_perc_avg"
"ME",1995,"iceoff",16.7239293939081,35.080869834372,43.6073923375479,6.7730975350452,1.81288025741301,19.319142669131,2.14991215712157,0.379344990374206,0.0310030176566199,1.61736712547028,0.274713231406188
"ME",1995,"iceon",15.8546499357052,50.4748232880948,24.2534564871406,3.14886657886916,0.301789645003709,15.7751638347343,13.842733505834,4.18102534681332,0.454596614779552,6.12627463728197,3.8302717313625
"ME",1996,"iceoff",14.9177747328471,38.7561692905374,41.1692844367552,6.74591154111771,1.96548993352409,21.1615794968426,4.17632239223602,0.78003002018294,0.0937247315752493,1.44482759786674,0.498258221173232
"ME",1996,"iceon",19.3531368027931,35.7738199645441,36.2630693009258,6.29453905620286,0.573153997921059,20.0319558691641,2.88597773062163,0.186384456029886,0.159282240562732,3.17059969311686,0.543165265824214
"ME",1997,"iceoff",21.1383862119807,35.2489680651714,40.9952118796645,5.04341781841981,2.08930884541885,15.3562695481833,4.70213397362987,0.755763968044236,0.170120591748931,3.08286189693263,0.714055692967449
"ME",1997,"iceon",27.7681318244957,31.8747118687509,35.9847748026423,2.12092781142404,0.148907838986012,7.19534101560271,5.1599456153916,2.1117147619059,0.163138404952547,6.61675038624996,7.91965945415407
"ME",1998,"iceoff",19.7372547352393,33.9963630575511,42.8370403992013,4.90015655918965,2.33356072867683,13.1173144143727,4.55393393852734,1.01716564225127,0.111811238928836,3.26118877801254,0.801307437753488
"ME",1998,"iceon",21.4730762836682,41.9426085617157,22.0050175254335,5.28012179641227,0.720621684816012,16.8025169225475,6.40359510325673,4.57380541719006,0.232322335009887,2.66403101284053,0.988218958975532
"ME",1999,"iceoff",24.4229562988192,28.571216711019,42.5167489276373,5.00803545590198,0.496532581120763,15.4218051305029,1.25634827066755,0.651435261035004,0.345425899889696,2.2788314908013,0.431726900350612
"ME",1999,"iceon",20.7009462085849,42.2295986431333,31.6410836117882,3.52719432738836,0.294810248731528,16.0530406343451,9.32754024431018,3.25183874424657,0.380940171812774,4.84994872146579,2.61350502736293
"ME",2000,"iceoff",17.8331413801325,39.4190823310813,37.9952819001509,9.00612250973171,0.353240132498748,25.5323469583524,1.07242382034646,0.493946285377101,0.0720727894218949,0.862009197297582,0.214073934652216
"ME",2000,"iceon",11.7594723560207,56.5256665839287,24.5524377605517,3.2895878031505,0.324254988386883,20.0235309875504,16.5828610983301,2.96801006350717,0.444768984823364,7.00719345659999,2.70171295309766
"ME",2001,"iceoff",17.8701048464986,40.7395822755285,35.8117426184832,7.63369728462273,0.60158030098513,23.3985641896562,3.45715330579001,1.16034068517407,0.109385217848253,1.80935561934108,0.586334317050103
"ME",2001,"iceon",25.2212691510564,43.8152688405968,28.4446315901661,2.67978836507246,1.60422206555047,13.3897671481033,10.5090049566292,7.31730271964207,0.208126074301382,5.39368253008321,2.00101907025543
"ME",2002,"iceoff",22.4927375665564,24.1764513932668,43.8059367656395,5.05316949490149,1.70469651134482,11.74916008203,2.41646331404046,0.630254861342205,0.0526629157536478,0.450241669198811,0.347107905077876
"ME",2003,"iceoff",17.5447747248631,32.6058029102296,46.2504371018891,6.63938010778612,2.6103222401194,17.7817046813544,2.65410012424327,0.55456798724617,0.0410441644200048,0.37095505863905,0.202107613464813
"ME",2003,"iceon",29.2630366567138,36.0288369800515,34.0177472746113,3.76155532986418,0.417963520681442,9.15337284021063,3.72467903182317,1.60252151744891,0.149249786786783,6.90923284456305,1.04500911587777
"ME",2004,"iceoff",12.4771527723608,36.437930318589,46.8033208238402,7.31108309348585,3.47483785354529,18.907405980402,3.37379709521541,0.258518743677965,0.123946409022729,0.684660451388971,0.456758716238609
"ME",2004,"iceon",15.1535705924516,56.293412860893,27.4871047460437,5.11769266840651,0.410539281233242,21.4160218633835,13.4371278897145,3.05863017618125,0.536807503552,5.59830590053767,2.36766534722467
"ME",2005,"iceoff",16.2059600805057,37.4504015339939,41.9000007401373,7.61354696440445,1.49220275303451,23.3313190569887,1.67653390253431,0.643070252780719,0.0444345203220129,0.681525713034251,0.121846060633801
"ME",2005,"iceon",14.8760813103583,59.1034554324952,25.3768198109034,4.52004384475319,0.449085698617649,20.3222024802525,15.8305765732486,4.54252040137777,0.483454935399591,5.83471817211214,2.66599621110351
"ME",2006,"iceoff",18.3266398847484,36.8755654179672,41.3179789394744,7.00325359119109,1.50355065703044,19.8320302316432,3.34259695589636,0.864394459484217,0.119024207346689,1.28744988304942,0.492315147747858
"ME",2006,"iceon",16.1159453249522,52.0033693829575,29.9755891299365,6.08289233111513,0.523703527821702,23.8667388235281,9.50486084503766,2.5262727919501,0.248822418629387,3.88814508978176,1.45347916609114
"ME",2007,"iceoff",15.0400659391045,36.0921835081317,44.9675993062053,6.91234373900235,2.71603393088406,18.9782295938544,3.18153453377399,0.572551660639921,0.157298809748656,1.04983622307066,0.371090899596485
"ME",2007,"iceon",17.5235539606357,56.9066341960117,25.0121952239775,6.05779332493529,0.662546129643772,22.2921263265143,12.0967241056604,5.06802527352944,0.379974247771146,3.43037703520597,1.87082230941914
"ME",2008,"iceoff",12.9515251971097,36.5230225342055,45.0251550327534,7.687288752891,1.53788941022209,25.0446721486881,1.21424013597378,0.0750278679605015,0.0188245570270279,0.210756491425358,0.039637405629341
